run_id,run_timestamp,duration_seconds,connection_count,packet_size,host1_id,host2_id,flow_id,src_port,dst_port,target_pps,pps,bps,latency_p50,latency_p99,latency_p999,sender_cpu_avg,receiver_cpu_avg,sender_cpu_core_cv,receiver_cpu_core_cv,sender_cpu_top_core_utilization,receiver_cpu_top_core_utilization,sender_cpu_bottom_core_utilization,receiver_cpu_bottom_core_utilization,status,error
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-0,20000,30000,100000,100000.0,102400000.0,1100.0,1200.0,1200.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-1,20001,30001,100001,100001.0,102401024.0,1101.0,1201.0,1201.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-2,20002,30002,100002,100002.0,102402048.0,1102.0,1202.0,1202.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-3,20003,30003,100003,100003.0,102403072.0,1103.0,1203.0,1203.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-4,20004,30004,100004,100004.0,102404096.0,1104.0,1204.0,1204.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-5,20005,30005,100005,100005.0,102405120.0,1105.0,1205.0,1205.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-6,20006,30006,100006,100006.0,102406144.0,1106.0,1206.0,1206.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-7,20007,30007,100007,100007.0,102407168.0,1107.0,1207.0,1207.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-8,20008,30008,100008,100008.0,102408192.0,1108.0,1208.0,1208.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-9,20009,30009,100009,100009.0,102409216.0,1109.0,1209.0,1209.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-10,20010,30010,100010,100010.0,102410240.0,1110.0,1210.0,1210.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-11,20011,30011,100011,100011.0,102411264.0,1111.0,1211.0,1211.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-12,20012,30012,100012,100012.0,102412288.0,1112.0,1212.0,1212.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-13,20013,30013,100013,100013.0,102413312.0,1113.0,1213.0,1213.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-14,20014,30014,100014,100014.0,102414336.0,1114.0,1214.0,1214.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-15,20015,30015,100015,100015.0,102415360.0,1115.0,1215.0,1215.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-16,20016,30016,100016,100016.0,102416384.0,1116.0,1216.0,1216.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-17,20017,30017,100017,100017.0,102417408.0,1117.0,1217.0,1217.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-18,20018,30018,100018,100018.0,102418432.0,1118.0,1218.0,1218.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-19,20019,30019,100019,100019.0,102419456.0,1119.0,1219.0,1219.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-20,20020,30020,100020,100020.0,102420480.0,1120.0,1220.0,1220.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-21,20021,30021,100021,100021.0,102421504.0,1121.0,1221.0,1221.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-22,20022,30022,100022,100022.0,102422528.0,1122.0,1222.0,1222.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-23,20023,30023,100023,100023.0,102423552.0,1123.0,1223.0,1223.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-24,20024,30024,100024,100024.0,102424576.0,1124.0,1224.0,1224.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-25,20025,30025,100025,100025.0,102425600.0,1125.0,1225.0,1225.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-26,20026,30026,100026,100026.0,102426624.0,1126.0,1226.0,1226.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-27,20027,30027,100027,100027.0,102427648.0,1127.0,1227.0,1227.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
20260430T175721Z,2026-04-30T17:57:54.755522+00:00,150,10000,128,server1,server2,flow-28,20028,30028,100028,100028.0,102428672.0,1128.0,1228.0,1228.0,20.0,15.5,0.12535355122564426,0.06485469187675069,22.5,16.5,17.5,14.5,ok,
